Gene,Importance
TMEM106B (54664),0.00036187607
SULT1A3 (6818),0.000361781
MTMR3 (8897),0.00036111943
ZNF429 (353088),0.0003609922
DENND5B (160518),0.00036089987
TRPS1 (7227),0.00035946845
KDM2A (22992),0.00035909342
RTL8B (441518),0.00035814723
SCML4 (256380),0.00035804918
HEY1 (23462),0.00035727638
ITGA10 (8515),0.00035702283
KPNA6 (23633),0.00035675487
FAM3A (60343),0.0003562066
STAC (6769),0.00035600652
ASB2 (51676),0.00035565285
VEZT (55591),0.00035530483
GOLM1 (51280),0.00035319323
OAF (220323),0.0003526833
RUSC1 (23623),0.00035253973
SPTY2D1 (144108),0.000349781
DERL2 (51009),0.00034946413
TLN2 (83660),0.00034869165
FAM120AOS (158293),0.00034864497
INPP5F (22876),0.00034774482
ZNF385D (79750),0.0003475162
H2AC15 (8330),0.00034728815
PPME1 (51400),0.0003471267
OSM (5008),0.00034651958
ITSN1 (6453),0.00034637065
ZNF737 (100129842),0.00034584565
KCNK3 (3777),0.0003452646
PPIC (5480),0.00034475364
FBXW8 (26259),0.00034465472
NFATC2 (4773),0.0003445788
CELF2 (10659),0.00034457436
OCIAD2 (132299),0.00034322205
PDXK (8566),0.00034293247
NLN (57486),0.00034264734
SYNE3 (161176),0.00034191506
MAP2K4 (6416),0.0003416603
CATSPER3 (347732),0.0003411522
PAX6 (5080),0.0003397323
PSORS1C1 (170679),0.00033920349
LOX (4015),0.00033826494
RIBC1 (158787),0.00033761348
BCLAF3 (256643),0.00033742472
ATP5IF1 (93974),0.00033701624
PWWP2A (114825),0.0003351257
BRPF3 (27154),0.00033464187
HSCB (150274),0.00033339916
KDELR1 (10945),0.0003326695
GOLGA3 (2802),0.00033261426
CD24 (100133941),0.00033240014
ARHGEF12 (23365),0.00033151923
SLC2A8 (29988),0.0003307721
ZBTB22 (9278),0.00032900673
ZNF506 (440515),0.00032608537
TUBB1 (81027),0.00032446263
CDK15 (65061),0.00032040573
B3GALNT1 (8706),0.00031909745
MAFB (9935),0.0003188055
MTCL1 (23255),0.00031852807
VKORC1L1 (154807),0.00031835368
CBX1 (10951),0.0003181239
EMC9 (51016),0.00031805917
RGS9 (8787),0.00031785463
TIGD4 (201798),0.0003170275
CEP55 (55165),0.00031691216
ZNF148 (7707),0.0003168012
GBF1 (8729),0.00031611405
PRRC1 (133619),0.00031603719
ST6GAL1 (6480),0.00031561838
RAB3IP (117177),0.0003152558
P4HTM (54681),0.00031510234
ABHD4 (63874),0.0003138817
CCHCR1 (54535),0.0003134665
KRBOX4 (55634),0.00031337288
MSRB2 (22921),0.00031315236
SYDE2 (84144),0.0003129638
ZNF467 (168544),0.00031199405
CENATAC (338657),0.00031194332
CARNS1 (57571),0.00031185488
TSPAN2 (10100),0.00031032905
NPTXR (23467),0.0003099884
CDC42BPB (9578),0.0003097832
AP1G1 (164),0.00030962258
POMT2 (29954),0.0003089065
CASKIN2 (57513),0.00030741285
SOX8 (30812),0.00030621246
MPZ (4359),0.00030562744
RAB33B (83452),0.0003044838
MN1 (4330),0.00030315472
PRR5L (79899),0.00030256333
ALX1 (8092),0.00030245952
STAT5A (6776),0.0003011341
ADAMTS2 (9509),0.00030056643
PNMA1 (9240),0.00029836516
HTR1D (3352),0.0002983288
SCYL1 (57410),0.00029757086
CDK20 (23552),0.0002974605
NRDC (4898),0.00029587076
CMC4 (100272147),0.0002942636
IMMP1L (196294),0.0002934454
CNDP1 (84735),0.0002934253
DMPK (1760),0.00029340896
PMEL (6490),0.00029310148
SERF1A (8293),0.0002910182
CLCNKB (1188),0.00028983102
FGL2 (10875),0.00028972392
TMEM65 (157378),0.00028831494
WWC1 (23286),0.00028613495
SLC30A4 (7782),0.00028547613
ZNF774 (342132),0.0002848267
SOX10 (6663),0.00028472402
SPACA6 (147650),0.0002833731
IFT20 (90410),0.00028320734
NUMBL (9253),0.00028253527
YPEL5 (51646),0.00028243876
APPL2 (55198),0.00028157694
OLFML2B (25903),0.00028129143
